Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
9,91,9,2019-11-09,OKC,,GSW,W 114-108,*,36:33,6,15,.400,0,3,.000,6,12,.500,.400,0,0,,1,4,5,3,0,0,3,2,12,4.1,-2
10,92,10,2019-11-10,OKC,,MIL,L 119-121,*,36:48,9,19,.474,4,6,.667,5,13,.385,.579,0,0,,1,5,6,6,2,0,2,1,22,18.3,-8
11,93,11,2019-11-12,OKC,@,IND,L 85-111,*,28:13,3,12,.250,1,3,.333,2,9,.222,.292,4,4,1.000,3,3,6,0,1,0,3,1,11,4.4,-19
12,94,12,2019-11-15,OKC,,PHI,W 127-119 (OT),*,40:25,9,19,.474,1,3,.333,8,16,.500,.500,5,6,.833,0,2,2,3,2,0,2,2,24,15.8,1
13,95,13,2019-11-18,OKC,@,LAC,L 88-90,*,30:37,4,10,.400,1,4,.250,3,6,.500,.450,2,2,1.000,0,1,1,0,1,0,5,5,11,-0.1,0
14,96,14,2019-11-19,OKC,@,LAL,L 107-112,*,36:09,5,16,.313,2,6,.333,3,10,.300,.375,4,4,1.000,1,4,5,4,1,1,2,0,16,11.2,-9
15,97,15,2019-11-22,OKC,,LAL,L 127-130,*,36:05,10,18,.556,2,2,1.000,8,16,.500,.611,2,2,1.000,1,6,7,4,1,1,2,1,24,20.0,-3
16,98,16,2019-11-25,OKC,@,GSW,W 100-97,*,31:30,5,12,.417,0,0,,5,12,.417,.417,2,2,1.000,0,5,5,3,2,1,3,3,12,7.7,13
17,99,17,2019-11-27,OKC,@,POR,L 119-136,*,29:40,4,10,.400,0,2,.000,4,8,.500,.400,3,5,.600,0,2,2,5,0,0,0,4,11,7.3,-26
18,100,18,2019-11-29,OKC,,NOP,W 109-104,*,33:15,4,13,.308,1,6,.167,3,7,.429,.346,1,2,.500,0,1,1,3,2,0,4,3,10,1.3,3
19,101,19,2019-12-01,OKC,@,NOP,W 107-104,*,33:05,5,17,.294,2,8,.250,3,9,.333,.353,5,6,.833,1,8,9,2,1,0,2,2,17,9.4,5
20,102,20,2019-12-04,OKC,,IND,L 100-107,*,36:22,7,19,.368,1,7,.143,6,12,.500,.395,1,1,1.000,0,3,3,3,1,0,2,1,16,7.1,-19
21,103,21,2019-12-06,OKC,,MIN,W 139-127 (OT),*,41:32,8,13,.615,1,1,1.000,7,12,.583,.654,12,12,1.000,1,4,5,2,1,0,3,2,29,23.6,9
22,104,22,2019-12-08,OKC,@,POR,W 108-96,*,38:16,5,14,.357,2,4,.500,3,10,.300,.429,9,12,.750,0,9,9,3,1,0,1,2,21,16.0,6
23,105,23,2019-12-09,OKC,@,UTA,W 104-90,*,33:28,7,20,.350,2,5,.400,5,15,.333,.400,4,6,.667,0,6,6,3,2,0,1,2,20,12.1,5
24,106,24,2019-12-11,OKC,@,SAC,L 93-94,*,35:33,4,11,.364,0,1,.000,4,10,.400,.364,6,8,.750,0,4,4,4,1,1,3,3,14,8.6,-3
25,107,25,2019-12-14,OKC,@,DEN,L 102-110,*,37:44,7,13,.538,0,1,.000,7,12,.583,.538,2,2,1.000,0,4,4,3,0,0,2,4,16,9.4,-5
26,108,26,2019-12-16,OKC,,CHI,W 109-106,*,34:24,1,3,.333,0,1,.000,1,2,.500,.333,5,8,.625,0,3,3,2,1,0,5,0,7,2.4,-1
27,109,27,2019-12-18,OKC,,MEM,W 126-122,*,38:42,7,16,.438,0,3,.000,7,13,.538,.438,6,6,1.000,2,7,9,1,2,2,1,1,20,17.8,14
28,110,28,2019-12-20,OKC,,PHO,W 126-108,*,36:06,13,18,.722,2,2,1.000,11,16,.688,.778,4,5,.800,0,4,4,3,1,0,0,2,32,27.7,11
29,111,29,2019-12-22,OKC,,LAC,W 118-112,*,34:29,12,25,.480,2,3,.667,10,22,.455,.520,6,6,1.000,0,3,3,5,2,0,2,2,32,22.9,16
30,112,30,2019-12-26,OKC,,MEM,L 97-110,*,37:08,8,19,.421,1,6,.167,7,13,.538,.447,4,4,1.000,0,3,3,1,3,0,1,0,21,14.5,-9
31,113,31,2019-12-27,OKC,@,CHO,W 104-102 (OT),*,36:01,10,17,.588,1,1,1.000,9,16,.563,.618,6,8,.750,1,3,4,1,2,0,1,1,27,21.2,-1
32,114,32,2019-12-29,OKC,@,TOR,W 98-97,*,38:47,12,21,.571,3,5,.600,9,16,.563,.643,5,6,.833,2,5,7,2,3,0,3,1,32,25.6,-6
33,115,33,2019-12-31,OKC,,DAL,W 106-101,*,35:12,6,15,.400,0,2,.000,6,13,.462,.400,7,8,.875,2,8,10,3,2,1,0,1,19,18.7,4
34,116,34,2020-01-02,OKC,@,SAS,W 109-103,*,36:11,10,18,.556,2,4,.500,8,14,.571,.611,3,4,.750,0,7,7,5,1,2,1,1,25,22.6,15
35,117,35,2020-01-04,OKC,@,CLE,W 121-106,*,34:25,9,14,.643,0,3,.000,9,11,.818,.643,2,2,1.000,0,7,7,0,2,0,2,2,20,15.1,16
36,118,36,2020-01-06,OKC,@,PHI,L 113-120,*,36:38,6,13,.462,0,3,.000,6,10,.600,.462,2,5,.400,2,7,9,2,0,0,0,1,14,10.6,-13
37,119,37,2020-01-07,OKC,@,BRK,W 111-103 (OT),*,38:37,8,18,.444,0,3,.000,8,15,.533,.444,6,6,1.000,2,2,4,2,2,0,4,0,22,14.0,14
38,120,38,2020-01-09,OKC,,HOU,W 113-92,*,30:44,8,15,.533,1,3,.333,7,12,.583,.567,3,3,1.000,0,3,3,3,1,0,0,1,20,16.3,28
39,121,39,2020-01-11,OKC,,LAL,L 110-125,*,34:52,8,17,.471,1,4,.250,7,13,.538,.500,7,7,1.000,0,8,8,0,1,1,1,0,24,18.4,-12
40,122,40,2020-01-13,OKC,@,MIN,W 117-104,*,36:26,8,12,.667,2,3,.667,6,9,.667,.750,2,2,1.000,2,18,20,10,0,1,2,1,20,26.9,23
41,123,41,2020-01-15,OKC,,TOR,L 121-130,*,37:44,6,10,.600,2,2,1.000,4,8,.500,.700,7,7,1.000,0,6,6,6,3,1,3,2,21,22.3,-6
42,124,42,2020-01-17,OKC,,MIA,L 108-115,*,37:10,5,13,.385,2,6,.333,3,7,.429,.462,6,6,1.000,0,5,5,8,1,0,1,4,18,16.4,-10
43,125,43,2020-01-18,OKC,,POR,W 119-106,*,34:34,9,17,.529,0,4,.000,9,13,.692,.529,4,6,.667,3,7,10,5,0,0,2,1,22,18.2,10
44,126,44,2020-01-20,OKC,@,HOU,W 112-107,*,38:54,5,10,.500,0,1,.000,5,9,.556,.500,3,4,.750,0,10,10,1,3,1,1,0,13,14.0,1
45,127,45,2020-01-22,OKC,@,ORL,W 120-114,*,37:36,7,10,.700,0,0,,7,10,.700,.700,4,5,.800,0,12,12,1,3,3,3,4,18,18.2,9
46,128,46,2020-01-24,OKC,,ATL,W 140-111,*,37:12,7,16,.438,0,2,.000,7,14,.500,.438,10,13,.769,1,2,3,6,1,3,3,1,24,19.6,25
47,129,47,2020-01-25,OKC,@,MIN,W 113-104,*,34:08,3,14,.214,0,2,.000,3,12,.250,.214,5,6,.833,0,7,7,2,1,2,3,3,11,3.7,-9
48,130,48,2020-01-27,OKC,,DAL,L 97-107,*,32:13,5,20,.250,3,6,.500,2,14,.143,.325,3,4,.750,1,10,11,4,0,1,3,1,16,7.4,-6
49,131,49,2020-01-29,OKC,@,SAC,W 120-100,*,38:37,6,13,.462,3,5,.600,3,8,.375,.577,2,3,.667,0,7,7,7,1,2,2,2,17,16.5,25
50,132,50,2020-01-31,OKC,@,PHO,W 111-107,*,34:00,5,16,.313,0,5,.000,5,11,.455,.313,2,2,1.000,3,6,9,4,0,1,1,2,12,8.4,19
51,133,51,2020-02-05,OKC,,CLE,W 109-103,*,39:19,9,17,.529,2,5,.400,7,12,.583,.588,3,4,.750,0,10,10,3,2,2,2,4,23,19.2,-2
52,134,52,2020-02-07,OKC,,DET,W 108-101,*,36:23,7,13,.538,1,3,.333,6,10,.600,.577,6,9,.667,2,0,2,1,0,2,1,2,21,15.2,10
53,135,53,2020-02-09,OKC,,BOS,L 111-112,*,33:05,8,12,.667,3,4,.750,5,8,.625,.792,5,7,.714,0,6,6,4,0,0,1,1,24,21.2,2
